id,name,datim_code,district_id
1,AIPEF SANTÉ,iQCxXkUGKmg,84
2,ASSOCIATION RURALE DE NAPIÉ,fgvfCtrxhlM,58
3,CSR-D PUBLIC DE GUEZON (S/P FACOBLY),f8PqfgzNSJt,62
4,CLINIQUE RAHMAN,EcFh5NlW2l3,3
5,CLINIQUE FATIMA,bJDI89tm9UR,3
6,HOTEL MEDICAL DES IMPOTS (HMI),gJNEOAd3wng,30
7,CLINIQUE LE ROCHER,jvYYCCnILwh,30
8,CLINIQUE MERE MARIE DES 2-PLATEAUX,UxxRdYznlWs,30
9,CLINIQUE SAINTE TRINITE DE LA VIE,iWs9rCfPcTC,30
10,CLINIQUE SAINTE HENRIETTE,igkhgU4lg7O,30
11,CLINIQUE PRIVEE TOURE,IhF9wd6MMiv,24
12,CLINIQUE CMENA,fHctNJw0HTn,25
13,CLINIQUE REINE POKOU,QovBKppkRzj,25
14,CLINIQUE SAINTE MADELEINE,zNqNC6TbtbK,26
15,CLINIQUE MEDICALE BOUAKE,hWEDsyIhX8O,26
16,CLINIQUE SAINTE FRATERNITE,ZInhoA7z8ZT,26
17,CLINIQUE SAINT MARTIN,YimUHxmQmjl,26
18,CLINIQUE NOTRE DAME DE LA CITE,y30EJHwpQu5,86
19,CLINIQUE BETHESDA,Uv596tZQ81A,86
20,CLINIQUE SANS FRONTIERE,gHezIWq1l9d,86
21,CLINIQUE MEDICALE LES BEATITUDES,L1Tg0lqmaQX,3
22,CLINIQUE MADINA,fgZmh3mQ3rg,2
23,CENTRE MEDICAL SMI,SHKh79SFCgd,3
24,CLINIQUE MEDICO CHIRURGICAL VAL DE GRACES,H0gcqcNpvdc,92
25,CENTRE MEDICO SOCIAL DU SUD OUEST,zKXOZixcDwD,92
26,ESPACE MEDICAL SAINT GEORGES,wPDeWVzRjWd,92
27,CENTRE MEDICO SOCIAL IVOIRE SERVICE,x00ZsUSuSmb,92
28,CLINIQUE LE SAMARITAIN,lr9rHSkCYcj,45
29,CLINIQUE LE FROMAGER,DafUHRPWbfn,45
30,CLINIQUE ANTILOPE,PYaXFpTLsh6,33
31,CENTRE MEDICO-SOCIAL POLYVALENT,lVgfTSG3HCU,33
32,NOUVELLE CLINIQUE IROKO,LQHLBYgeIVh,109
33,ESPACE MEDICAL PHENIX,PpJrbN3zpmD,109
34,CLINIQUE SILOE,VxMT3PR4S6V,109
35,HOTEL MEDICAL MARIA,SWE8Nh4vl3g,109
36,POLYCLINIQUE DE YOPOUGON,G6UFMXIkAGl,109
37,CLINIQUE MEDICALE SAINTE MARIE,gu72eRkN8ch,110
38,CLINIQUE PIERRE MARIE HAGMAN,ZlageAPAEva,110
39,CLINIQUE LA GRACE DIVINE,vTU3qjKCR9a,110
